epoch,operation,kind,function,message_id,strategy,threshold,total_shards,dispatch_mode,attempted_lanes,acked_lanes,success,conditional_no_censor_success,completion_ms,deadline_ms,blocked_data_packets,blocked_ack_packets,wire_payload_bytes
1,17,application,media,e38594a0ba58c084ad65ba34d2de2598,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,15000,15000,10,0,8646
1,18,application,file,0e6aaf51c2910a4ac5b46d2d5728cd64,fso,1,2,sequential,generated-1;ephemeral-1,,0,1,30000,30000,20,0,17088
1,19,application,realtime,6fdc3ea09e03ae16b69e30b2122662b3,fso,1,2,parallel,generated-1;ephemeral-1,,0,1,450,450,4,0,2352
2,-1000,probe,text,0fd5cb2a93495b0ceb521b8c4228532b,lane_probe,1,1,single,direct-0,,0,1,5000,5000,1,0,223
2,-1001,probe,text,7548c45a498d097f11fe35e8c0a601de,lane_probe,1,1,single,fixed-0,fixed-0,1,1,80.0,5000,0,0,223
2,-1002,probe,text,04a498b92dbf38e0644d007c0cbde260,lane_probe,1,1,single,generated-0,generated-0,1,1,130.0,5000,0,0,223
2,-1003,probe,text,d57892b75f0eb1349ab4d2193ad1a71d,lane_probe,1,1,single,generated-1,generated-1,1,1,140.0,5000,0,0,223
2,-1004,probe,text,312fb4ef3c5c5e0117bf34a2f5f20047,lane_probe,1,1,single,ephemeral-0,ephemeral-0,1,1,170.0,5000,0,0,223
2,-1005,probe,text,c5543484b84009e1b3f3a43946e2facb,lane_probe,1,1,single,ephemeral-1,ephemeral-1,1,1,180.0,5000,0,0,223
2,20,application,text,f9995b377cd722a98650870f5b94c454,fso,1,2,sequential,ephemeral-0;ephemeral-1,ephemeral-0;ephemeral-1,1,1,170.0,5000,0,0,1278
2,21,application,presence,8239b0b5f3d3ea8bb976a46f81851a02,fso,1,2,sequential,fixed-0;ephemeral-0,fixed-0;ephemeral-0,1,1,80.0,1500,0,0,446
2,22,application,media,febf9330597fe9b1e12ea565d28071d4,fso,1,2,sequential,fixed-0;ephemeral-0,,0,1,15000,15000,9,0,8646
2,23,application,file,89231755ed0b8f22efaf43d23a28a49b,fso,1,2,sequential,fixed-0;ephemeral-0,,0,1,30000,30000,20,0,17088
2,24,application,realtime,cb0e22fe5458672d6e66ec0f952d082e,fso,1,2,parallel,fixed-0;ephemeral-0,,0,1,450,450,4,0,2352
2,25,application,text,48204d3024bd0aa539f72fe51fb5aa78,fso,1,2,sequential,ephemeral-0;ephemeral-1,ephemeral-1,1,1,180.0,5000,1,0,1278
2,26,application,presence,2c41a6ef58ac121f01de798fd57c00cd,fso,1,2,sequential,fixed-0;ephemeral-0,,0,1,1500,1500,2,0,446
2,27,application,media,e5dba981eb3c94a416c22d1140a0c979,fso,1,2,sequential,fixed-0;ephemeral-0,,0,1,15000,15000,10,0,8646
2,28,application,file,aee76e80b56598857ae98310c811bd93,fso,1,2,sequential,fixed-0;ephemeral-0,,0,1,30000,30000,20,0,17088
2,29,application,realtime,cd13e5051004d605e836f56439c74674,fso,1,2,parallel,fixed-0;ephemeral-0,,0,1,450,450,4,0,2352
3,-1000,probe,text,3e8ce8aed7aaca983a03c9944f99086a,lane_probe,1,1,single,direct-0,,0,1,5000,5000,1,0,223
3,-1001,probe,text,5e7b036720f886e9599df1c21ddab8fa,lane_probe,1,1,single,fixed-0,fixed-0,1,1,80.0,5000,0,0,223
3,-1002,probe,text,92ec5436c58fbe58ba6d3ecae42b54a3,lane_probe,1,1,single,generated-0,generated-0,1,1,130.0,5000,0,0,223
3,-1003,probe,text,3e121f7be4ba05cafdc3ec66e5ff1a05,lane_probe,1,1,single,generated-1,generated-1,1,1,140.0,5000,0,0,223
3,-1004,probe,text,57a4ba0238da3066ae3579460f16dc54,lane_probe,1,1,single,ephemeral-0,ephemeral-0,1,1,170.0,5000,0,0,223
3,-1005,probe,text,7ae251fb74e7fa6b6d3f783153010cd4,lane_probe,1,1,single,ephemeral-1,ephemeral-1,1,1,180.0,5000,0,0,223
