run_id,design_id,censor_model,architecture,seed,auac,t50,t50_observed,attempts,successes,mean_completion_ms,endpoint_burn_rate,path_failures,path_failures_fraction,endpoint_failures,endpoint_failures_fraction,platform_failures,platform_failures_fraction,network_failures,network_failures_fraction,auac_file,auac_media,auac_presence,auac_realtime,auac_text
robustness-000633,design-0010,resource_bounded_composed,fixed_proxy,4103,0.7659722222222223,36,0,1440,1103,1509.3363857268462,0.06018518518518518,125,0.08680555555555555,101,0.07013888888888889,0,0.0,111,0.07708333333333334,0.6527777777777778,0.90625,0.8229166666666666,0.5590277777777778,0.8888888888888888
robustness-000634,design-0010,resource_bounded_composed,fixed_proxy,4201,0.7611111111111111,36,0,1440,1096,1515.8038770081266,0.06481481481481481,144,0.1,82,0.05694444444444444,0,0.0,118,0.08194444444444444,0.6805555555555556,0.8645833333333334,0.8194444444444444,0.5625,0.8784722222222222
robustness-000635,design-0010,resource_bounded_composed,fixed_proxy,4307,0.7798611111111112,36,0,1440,1123,1484.1364517430238,0.0625,113,0.07847222222222222,59,0.04097222222222222,0,0.0,145,0.10069444444444445,0.6493055555555556,0.8854166666666666,0.8680555555555556,0.5902777777777778,0.90625
robustness-000636,design-0010,resource_bounded_composed,generated_transport,4103,0.7840277777777779,36,0,1440,1129,1550.0570573994528,0.021043771043771045,177,0.12291666666666666,3,0.0020833333333333333,0,0.0,131,0.09097222222222222,0.7395833333333334,0.8611111111111112,0.8680555555555556,0.5833333333333334,0.8680555555555556
robustness-000637,design-0010,resource_bounded_composed,generated_transport,4201,0.7722222222222221,36,0,1440,1112,1551.6220782062653,0.027777777777777776,182,0.12638888888888888,3,0.0020833333333333333,0,0.0,143,0.09930555555555555,0.7152777777777778,0.8611111111111112,0.875,0.5868055555555556,0.8229166666666666
robustness-000638,design-0010,resource_bounded_composed,generated_transport,4307,0.7645833333333333,36,0,1440,1101,1552.6903654807254,0.01430976430976431,182,0.12638888888888888,2,0.001388888888888889,0,0.0,155,0.1076388888888889,0.6736111111111112,0.8472222222222222,0.8680555555555556,0.5659722222222222,0.8680555555555556
robustness-000639,design-0010,resource_bounded_composed,ephemeral_relay,4103,0.8173611111111112,36,0,1440,1177,1656.8604407615692,0.0027386541471048514,107,0.07430555555555556,2,0.001388888888888889,0,0.0,154,0.10694444444444444,0.7604166666666666,0.9201388888888888,0.90625,0.5972222222222222,0.9027777777777778
robustness-000640,design-0010,resource_bounded_composed,ephemeral_relay,4201,0.8124999999999999,36,0,1440,1170,1658.0961272421623,0.0035211267605633804,109,0.07569444444444444,4,0.002777777777777778,0,0.0,157,0.10902777777777778,0.7604166666666666,0.9166666666666666,0.90625,0.59375,0.8854166666666666
robustness-000641,design-0010,resource_bounded_composed,ephemeral_relay,4307,0.8083333333333333,36,0,1440,1164,1659.5556470827833,0.002543035993740219,87,0.06041666666666667,4,0.002777777777777778,0,0.0,185,0.1284722222222222,0.7222222222222222,0.9236111111111112,0.9340277777777778,0.5486111111111112,0.9131944444444444
robustness-000642,design-0010,resource_bounded_composed,platform_controlled,4103,0.8986111111111111,36,0,1440,1294,1282.7802723013583,0.0,0,0.0,0,0.0,34,0.02361111111111111,112,0.07777777777777778,0.8090277777777778,0.9791666666666666,0.9826388888888888,0.7847222222222222,0.9375
