packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us,censorlab_packet_index,action,blocked
14,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,601,107000000,15,allow,0
15,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,107171000,16,allow,0
16,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,generated-1,1,0,1,client_to_server,data,tcp,203.0.113.11,8443,601,107000000,17,drop,1
17,1,10,application,text,4ae96a56a32ee66742bf31acafdf512e,generated-1,1,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,107141000,18,drop,1
18,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,ephemeral-0,0,0,1,client_to_server,data,udp,203.0.113.20,8443,185,108000000,19,allow,0
19,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,108171000,20,allow,0
20,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,generated-1,1,0,1,client_to_server,data,tcp,203.0.113.11,8443,185,108000000,21,drop,1
21,1,11,application,presence,db7ccfe24569c9bcc291aaca75ccd95a,generated-1,1,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,108141000,22,drop,1
22,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-0,0,0,5,client_to_server,data,udp,203.0.113.20,8443,925,109000000,23,allow,0
23,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-0,0,1,5,client_to_server,data,udp,203.0.113.20,8443,925,109001000,24,allow,0
24,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-0,0,2,5,client_to_server,data,udp,203.0.113.20,8443,925,109002000,25,allow,0
25,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-0,0,3,5,client_to_server,data,udp,203.0.113.20,8443,925,109003000,26,allow,0
26,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-0,0,4,5,client_to_server,data,udp,203.0.113.20,8443,585,109004000,27,allow,0
27,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,109175000,28,allow,0
28,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,1,0,5,client_to_server,data,tcp,203.0.113.11,8443,925,109000000,29,drop,1
29,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,1,1,5,client_to_server,data,tcp,203.0.113.11,8443,925,109001000,30,drop,1
30,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,1,2,5,client_to_server,data,tcp,203.0.113.11,8443,925,109002000,31,drop,1
31,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,1,3,5,client_to_server,data,tcp,203.0.113.11,8443,925,109003000,32,drop,1
32,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,1,4,5,client_to_server,data,tcp,203.0.113.11,8443,585,109004000,33,drop,1
33,1,12,application,media,ac5b7f0d082af64bcdb7922d6e88d4dc,generated-1,1,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,109145000,34,drop,1
34,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,0,10,client_to_server,data,udp,203.0.113.20,8443,925,110000000,35,allow,0
35,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,1,10,client_to_server,data,udp,203.0.113.20,8443,925,110001000,36,allow,0
36,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,2,10,client_to_server,data,udp,203.0.113.20,8443,925,110002000,37,allow,0
37,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,3,10,client_to_server,data,udp,203.0.113.20,8443,925,110003000,38,allow,0
38,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,4,10,client_to_server,data,udp,203.0.113.20,8443,925,110004000,39,allow,0
39,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,5,10,client_to_server,data,udp,203.0.113.20,8443,925,110005000,40,allow,0
40,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,6,10,client_to_server,data,udp,203.0.113.20,8443,925,110006000,41,allow,0
41,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,7,10,client_to_server,data,udp,203.0.113.20,8443,925,110007000,42,allow,0
42,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,8,10,client_to_server,data,udp,203.0.113.20,8443,925,110008000,43,allow,0
43,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,9,10,client_to_server,data,udp,203.0.113.20,8443,181,110009000,44,allow,0
44,1,13,application,file,c913b6dfb2288c16f7530291242b703e,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,110180000,45,allow,0
45,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,0,10,client_to_server,data,tcp,203.0.113.11,8443,925,110000000,46,drop,1
46,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,1,10,client_to_server,data,tcp,203.0.113.11,8443,925,110001000,47,drop,1
47,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,2,10,client_to_server,data,tcp,203.0.113.11,8443,925,110002000,48,drop,1
48,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,3,10,client_to_server,data,tcp,203.0.113.11,8443,925,110003000,49,drop,1
49,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,4,10,client_to_server,data,tcp,203.0.113.11,8443,925,110004000,50,drop,1
50,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,5,10,client_to_server,data,tcp,203.0.113.11,8443,925,110005000,51,drop,1
51,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,6,10,client_to_server,data,tcp,203.0.113.11,8443,925,110006000,52,drop,1
52,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,7,10,client_to_server,data,tcp,203.0.113.11,8443,925,110007000,53,drop,1
53,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,8,10,client_to_server,data,tcp,203.0.113.11,8443,925,110008000,54,drop,1
54,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,9,10,client_to_server,data,tcp,203.0.113.11,8443,181,110009000,55,drop,1
55,1,13,application,file,c913b6dfb2288c16f7530291242b703e,generated-1,1,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,110150000,56,drop,1
56,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,0,2,client_to_server,data,tcp,203.0.113.11,8443,925,111000000,57,drop,1
57,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,1,2,client_to_server,data,tcp,203.0.113.11,8443,213,111001000,58,drop,1
58,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,generated-1,0,0,1,server_to_client,ack,tcp,203.0.113.11,8443,38,111142000,59,drop,1
59,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,ephemeral-0,1,0,2,client_to_server,data,udp,203.0.113.20,8443,925,111000000,60,allow,0
60,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,ephemeral-0,1,1,2,client_to_server,data,udp,203.0.113.20,8443,213,111001000,61,allow,0
61,1,14,application,realtime,daeb2023273a2cdf7cf513c44d682c00,ephemeral-0,1,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,111172000,62,allow,0
