packet_index,epoch,operation,kind,function,message_id,lane,shard_index,fragment_part,fragment_total,direction,role,transport,server_ip,server_port,payload_bytes,timestamp_us
83,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,1,10,client_to_server,data,udp,203.0.113.20,8443,925,315001000
84,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,2,10,client_to_server,data,udp,203.0.113.20,8443,925,315002000
85,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,3,10,client_to_server,data,udp,203.0.113.20,8443,925,315003000
86,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,4,10,client_to_server,data,udp,203.0.113.20,8443,925,315004000
87,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,5,10,client_to_server,data,udp,203.0.113.20,8443,925,315005000
88,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,6,10,client_to_server,data,udp,203.0.113.20,8443,925,315006000
89,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,7,10,client_to_server,data,udp,203.0.113.20,8443,925,315007000
90,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,8,10,client_to_server,data,udp,203.0.113.20,8443,925,315008000
91,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,9,10,client_to_server,data,udp,203.0.113.20,8443,181,315009000
92,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-0,0,0,1,server_to_client,ack,udp,203.0.113.20,8443,38,315180000
93,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,0,10,client_to_server,data,udp,203.0.113.21,8443,925,315000000
94,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,1,10,client_to_server,data,udp,203.0.113.21,8443,925,315001000
95,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,2,10,client_to_server,data,udp,203.0.113.21,8443,925,315002000
96,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,3,10,client_to_server,data,udp,203.0.113.21,8443,925,315003000
97,3,38,application,file,6e4caa513c0afbcd03fea6a8949b2beb,ephemeral-1,1,4,10,client_to_server,data,udp,203.0.113.21,8443,925,315004000
