architecture,architecture_label,censor,network,replicates,auac,auac_ci_low,auac_ci_high,t50,t50_ci_low,t50_ci_high,t50_event_fraction,endpoint_burn_rate,endpoint_burn_rate_ci_low,endpoint_burn_rate_ci_high,mean_tpr,mean_fpr,mean_precision,auac_text,auac_text_ci_low,auac_text_ci_high,auac_media,auac_media_ci_low,auac_media_ci_high,auac_file,auac_file_ci_low,auac_file_ci_high,auac_presence,auac_presence_ci_low,auac_presence_ci_high,auac_realtime,auac_realtime_ci_low,auac_realtime_ci_high
generated_transport,Generated Transport,passive_only,stable,20,0.9350694444444445,0.9216996527777779,0.9469622395833334,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.06297499999999999,0.0011520833333333335,0.2591656549167493,0.9375000000000002,0.9251714409722224,0.9488715277777777,0.9318576388888887,0.9152777777777776,0.9453146701388889,0.9277777777777777,0.9121506076388889,0.9412326388888888,0.9409722222222221,0.9300325520833332,0.9513888888888887,0.9372395833333333,0.9235221354166664,0.9500021701388889
generated_transport,Generated Transport,path_endpoint,impaired,20,0.6332638888888888,0.6133489583333334,0.6499309895833334,33.55,29.8,36.0,0.1,0.015773809523809523,0.013640873015873014,0.018154761904761906,0.06297499999999999,0.0011520833333333335,0.2591656549167493,0.8742187500000002,0.8496462673611112,0.8925347222222222,0.8391493055555553,0.8077235243055557,0.86267578125,0.5419270833333333,0.5212651909722221,0.5589409722222222,0.8644097222222221,0.8334201388888889,0.8903645833333333,0.046614583333333334,0.042534722222222224,0.050783420138888875
generated_transport,Generated Transport,path_endpoint,mobile,20,0.8125868055555555,0.7872009548611111,0.8339275173611111,33.65,30.15,36.0,0.1,0.015773809523809523,0.013740079365079367,0.01820436507936508,0.06297499999999999,0.0011520833333333335,0.2591656549167493,0.9030381944444444,0.8767317708333333,0.9224826388888886,0.9146701388888889,0.8861111111111111,0.9388020833333333,0.7844618055555557,0.7537261284722222,0.8099826388888889,0.8949652777777779,0.8654405381944446,0.9190125868055558,0.5657986111111113,0.5454861111111112,0.5826410590277779
generated_transport,Generated Transport,path_endpoint,stable,20,0.9130034722222222,0.881609375,0.9374670138888889,33.65,30.15,36.0,0.1,0.015773809523809523,0.013640873015873014,0.018154761904761903,0.06297499999999999,0.0011520833333333335,0.2591656549167493,0.9213541666666666,0.8966145833333334,0.9408875868055555,0.9146701388888889,0.8850672743055555,0.9389756944444443,0.9078124999999998,0.8760394965277777,0.9349848090277777,0.9129340277777777,0.8825499131944444,0.9391514756944445,0.9082465277777778,0.8716080729166668,0.9370659722222221
platform_controlled,Permitted Platform,adaptive_cross_layer,impaired,20,0.6749131944444445,0.6718229166666666,0.6781080729166666,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0019222222222222227,0.0008333333333333333,0.19116958760135994,0.8973090277777779,0.8910590277777779,0.9035611979166666,0.8752604166666667,0.8702256944444444,0.8799500868055555,0.5689236111111111,0.5597200520833332,0.5781271701388888,0.9443576388888889,0.9401041666666666,0.9484375,0.08871527777777778,0.08263888888888889,0.09470486111111112
platform_controlled,Permitted Platform,adaptive_cross_layer,mobile,20,0.8847222222222223,0.8818229166666667,0.8876909722222223,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0019222222222222227,0.0008333333333333333,0.19116958760135994,0.9292534722222221,0.9243055555555555,0.9346354166666666,0.9531249999999998,0.9499978298611109,0.9565972222222221,0.8261284722222222,0.818576388888889,0.8333355034722223,0.9756944444444446,0.9726562500000002,0.978732638888889,0.7394097222222222,0.7305555555555556,0.7486111111111111
platform_controlled,Permitted Platform,adaptive_cross_layer,stable,20,0.9641493055555556,0.9626041666666667,0.9656076388888888,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0019222222222222227,0.0008333333333333333,0.19116958760135994,0.9488715277777777,0.9453125,0.9522569444444444,0.9531249999999998,0.9497395833333332,0.9564236111111111,0.953125,0.9498263888888889,0.9566861979166668,0.9971354166666668,0.99609375,0.9980902777777778,0.9684895833333332,0.965017361111111,0.9717903645833336
platform_controlled,Permitted Platform,passive_only,impaired,20,0.699045138888889,0.6961979166666666,0.7020490451388888,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0020861111111111106,0.0009680555555555557,0.2504696960193896,0.9427951388888888,0.9381076388888892,0.9475694444444445,0.9180555555555555,0.9139756944444445,0.9223980034722221,0.5980034722222223,0.5894943576388888,0.6066861979166668,0.9443576388888889,0.9401041666666666,0.9483506944444444,0.09201388888888888,0.08550347222222224,0.09809027777777779
platform_controlled,Permitted Platform,passive_only,mobile,20,0.9165798611111112,0.9142881944444443,0.9190286458333332,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0020861111111111106,0.0009680555555555557,0.2504696960193896,0.9763020833333336,0.9730034722222222,0.9790798611111112,1.0,1.0,1.0,0.8669270833333333,0.8604144965277777,0.8736132812500002,0.9756944444444446,0.9723958333333333,0.978732638888889,0.7639756944444445,0.7558138020833333,0.7722222222222221
platform_controlled,Permitted Platform,passive_only,stable,20,0.9988194444444444,0.9985416666666665,0.999079861111111,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0020861111111111106,0.0009680555555555557,0.2504696960193896,0.9969618055555556,0.995920138888889,0.9978298611111113,1.0,1.0,1.0,1.0,1.0,1.0,0.9971354166666668,0.99609375,0.9980902777777778,1.0,1.0,1.0
platform_controlled,Permitted Platform,path_endpoint,impaired,20,0.699045138888889,0.6963541666666667,0.7020316840277777,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0020861111111111106,0.0009680555555555557,0.2504696960193896,0.9427951388888888,0.937931857638889,0.9473111979166668,0.9180555555555555,0.9138867187499998,0.9223090277777777,0.5980034722222223,0.5893229166666668,0.60703125,0.9443576388888889,0.9400173611111111,0.94861328125,0.09201388888888888,0.08576388888888889,0.09765625000000001
platform_controlled,Permitted Platform,path_endpoint,mobile,20,0.9165798611111112,0.9143224826388888,0.9190629340277777,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0020861111111111106,0.0009680555555555557,0.2504696960193896,0.9763020833333336,0.9730034722222223,0.9791666666666667,1.0,1.0,1.0,0.8669270833333333,0.8605881076388887,0.8736111111111112,0.9756944444444446,0.9726562500000002,0.9786458333333334,0.7639756944444445,0.7557291666666666,0.7723090277777778
platform_controlled,Permitted Platform,path_endpoint,stable,20,0.9988194444444444,0.9985763888888887,0.9990798611111111,36.0,36.0,36.0,0.0,0.0,0.0,0.0,0.0020861111111111106,0.0009680555555555557,0.2504696960193896,0.9969618055555556,0.995920138888889,0.9978298611111113,1.0,1.0,1.0,1.0,1.0,1.0,0.9971354166666668,0.99609375,0.9980902777777777,1.0,1.0,1.0
